policy_id,date_id,customer_id,product_id,branch_id,channel_id,premium_egp,underwriting_cost,admin_cost,total_cost,expected_claim_reserve,term_months,policy_status,customer_type,is_returning_customer
POL00478,20231015,CUS0144,PR04,BR03,CH03,25296.13,3930.98,3644.76,7575.74,14124.97,6.0,Cancelled,Corporate,False
POL00479,20231005,CUS0040,PR07,BR09,CH01,1187.0,131.98,132.93,264.91,326.74,12.0,ACTIVE,Individual,True
POL00480,20230423,CUS0068,PR03,BR09,CH04,6538.88,815.02,710.67,1525.69,3276.34,24.0,Expired,Individual,True
POL00481,20230618,CUS0142,PR05,BR09,CH01,43305.1,6851.84,5436.76,12288.6,24952.76,6.0,Active,Corporate,True
POL00482,20241220,CUS0118,PR01,BR01,CH02,3730.45,484.58,427.73,912.31,2604.13,6.0,Cancelled,Individual,True
POL00483,20230406,CUS0010,PR01,BR10,CH04,4637.93,489.93,,861.29,2854.59,24.0,Active,Individual,False
POL00484,20240713,CUS0124,PR07,BR03,CH01,1287.62,217.24,131.44,348.68,356.17,12.0,Active,Individual,False
POL00485,20230103,CUS0047,PR03,BR03,CH01,7422.8,860.46,985.2,1845.66,3010.73,24.0,Active,Individual,False
POL00486,20241011,CUS0146,PR04,BR01,CH02,47035.47,6164.27,6703.7,12867.97,18543.93,6.0,Active,Corporate,False
POL00487,20241125,CUS0019,PR01,BR02,CH01,4770.98,601.7,,1075.57,3737.3,6.0,Expired,Individual,True
POL00488,20230601,CUS0094,PR01,BR01,CH02,7910.76,1158.72,660.49,1819.21,3977.65,24.0,Expired,Individual,False
POL00489,20240313,CUS0173,PR04,BR03,CH01,22400.29,3938.74,,6636.12,10313.12,12.0,Expired,Corporate,False
POL00490,20240227,CUS0075,PR01,BR03,CH02,6060.68,1076.19,800.87,1877.06,3825.18,12.0,Active,Individual,False
POL00491,20240512,CUS0012,PR07,BR06,CH02,1493.01,213.97,153.17,367.14,583.09,6.0,Active,Individual,True
POL00492,20241206,CUS0122,PR03,BR04,CH03,14629.43,2206.65,1345.47,3552.12,7601.16,24.0,Expired,Individual,False
POL00493,20240916,CUS0050,PR03,BR06,CH04,11747.14,1721.61,1365.21,3086.82,5290.47,,Active,Individual,True
POL00494,20241124,CUS0015,PR01,BR01,CH01,3701.15,522.31,499.84,1022.15,1928.33,6.0,Expired,Individual,True
POL00495,20230227,CUS0023,PR02,BR01,CH02,974.95,120.08,111.33,231.41,621.23,12.0,Active,Individual,False
POL00496,20230627,CUS0090,PR01,BR07,CH02,6277.54,686.17,753.07,1439.24,4216.62,24.0,Active,Individual,False
POL00497,20230714,CUS0174,PR08,BR06,CH03,10471.42,1187.41,1275.37,2462.78,4397.3,6.0,Active,Corporate,True
POL00498,20240408,CUS0122,PR02,BR03,CH01,1587.89,249.89,220.63,470.52,1075.26,24.0,Active,Individual,False
POL00499,20231116,CUS0144,PR06,BR01,CH02,134598.61,22527.85,17384.57,39912.42,88332.89,6.0,Active,Corporate,False
POL00500,20231221,CUS0090,PR03,BR01,CH04,6141.07,870.55,851.36,1721.91,2445.06,24.0,Active,Individual,False
POL00501,20241103,CUS0012,PR02,BR05,CH04,457.1,69.69,47.94,117.63,320.79,12.0,Active,Individual,True
POL00502,20230529,CUS0171,PR04,BR08,CH05,72995.67,7481.01,,16554.81,41087.36,12.0,Active,Corporate,False
POL00503,20231108,CUS0032,PR01,BR11,CH01,6506.97,1001.49,902.21,1903.7,2923.32,12.0,Cancelled,Individual,True
POL00504,20240714,CUS0110,PR02,BR04,CH02,1835.05,308.7,248.27,556.97,959.67,12.0,Active,Individual,True
POL00505,20240124,CUS0165,PR04,BR04,CH02,35508.44,3820.36,5051.25,8871.61,17279.58,6.0,Active,Corporate,False
POL00506,20240906,CUS0021,PR01,BR02,CH02,7123.27,791.57,621.28,1412.85,3495.93,6.0,Expired,Individual,True
POL00507,20230303,CUS0120,PR02,BR08,CH02,1030.35,154.55,97.85,252.4,584.08,12.0,Active,Individual,True
POL00508,20240906,CUS0091,PR03,BR08,CH03,7129.67,973.66,606.37,1580.03,3050.94,12.0,Expired,Individual,True
POL00509,20240426,CUS0027,PR01,BR01,CH04,2502.96,394.34,375.22,769.56,1520.27,,Active,Individual,True
POL00510,20240926,CUS0125,PR01,BR08,CH03,5319.65,775.76,717.97,1493.73,2463.57,24.0,Active,Individual,True
POL00511,20240915,CUS0175,PR04,BR04,CH01,98855.53,15763.08,11514.84,27277.92,35515.66,24.0,Active,Corporate,True
POL00512,20240819,CUS0106,PR02,BR03,CH01,821.74,99.69,100.95,200.64,529.09,24.0,Expired,Individual,False
POL00513,20241014,CUS0099,PR07,BR08,CH04,1448.35,206.94,172.01,378.95,622.93,24.0,Active,Individual,True
POL00514,20230406,CUS0158,PR06,BR02,CH02,40377.97,4787.24,5245.03,10032.27,15484.48,12.0,Cancelled,Corporate,False
POL00515,20240124,CUS0020,PR03,BR03,CH02,14413.98,1512.59,1521.3,3033.89,5395.74,12.0,Active,Individual,False
POL00516,20240329,CUS0007,PR03,BR09,CH01,2519.67,362.93,248.16,611.09,1086.49,12.0,Expired,Individual,True
POL00517,20241227,CUS0128,PR04,BR04,CH01,11467.06,1626.56,976.48,2603.04,7258.15,6.0,Active,Corporate,True
POL00518,20230205,CUS0044,PR07,BR03,CH01,873.57,130.71,121.59,252.3,214.39,6.0,Cancelled,Individual,False
POL00519,20231003,CUS0050,PR01,BR11,CH02,2809.79,325.66,267.22,592.88,1781.83,6.0,Expired,Individual,True
POL00520,20240315,CUS0091,PR02,BR11,CH01,779.97,140.02,80.46,220.48,463.41,12.0,ACTIVE,Individual,True
POL00521,20240406,CUS0056,PR07,BR04,CH02,360.45,48.71,45.81,94.52,126.94,24.0,Cancelled,Individual,True
POL00522,20230409,CUS0071,PR01,BR11,CH05,5879.17,683.79,587.59,1271.38,3735.64,24.0,Active,Individual,False
POL00523,20240920,CUS0069,PR02,BR03,CH03,1640.88,201.18,181.86,383.04,709.08,12.0,Active,Individual,False
POL00524,20241111,CUS0108,PR02,BR05,CH01,1694.07,224.78,176.53,401.31,918.51,12.0,Active,Individual,True
POL00525,20240719,CUS0113,PR03,BR12,CH02,10703.48,1111.89,1137.08,2248.97,3951.57,12.0,Cancelled,Individual,False
POL00526,20230130,CUS0128,PR05,BR08,CH04,24075.44,2594.49,2762.74,5357.23,10312.8,24.0,Active,Corporate,True
POL00527,20230904,CUS0076,PR01,BR04,CH01,2340.83,335.52,216.15,551.67,1322.85,12.0,Active,Individual,False
POL00528,20230413,CUS0176,PR04,BR01,CH05,46305.37,4982.67,4382.77,9365.44,22412.27,6.0,Expired,Corporate,True
POL00529,20230520,CUS0068,PR07,BR02,CH02,796.54,110.09,105.71,215.8,268.31,24.0,Cancelled,Individual,True
POL00530,20240507,CUS0044,PR02,BR01,CH05,1346.83,186.03,193.94,379.97,597.97,6.0,Active,Individual,False
POL00531,20240517,CUS0055,PR01,BR04,CH04,3326.34,463.81,492.41,956.22,1495.51,6.0,Expired,Individual,False
POL00532,20231126,CUS0115,PR02,BR01,CH01,659.72,74.52,70.43,144.95,355.46,24.0,Active,Individual,True
POL00533,20240217,CUS0028,PR07,BR01,CH02,1173.88,124.41,137.81,262.22,320.28,6.0,Expired,Individual,True
POL00534,20240106,CUS0094,PR01,BR03,CH01,6895.42,989.3,552.71,1542.01,3738.74,12.0,Expired,Individual,False
POL00535,20240824,CUS0129,PR04,BR04,CH02,27028.48,3810.42,2951.6,6762.02,16032.02,,Active,Corporate,True
POL00536,20240314,CUS0176,PR08,BR05,CH03,10232.23,1062.98,890.04,1953.02,3943.24,6.0,Active,Corporate,True
POL00537,20240624,CUS0082,PR01,BR01,CH02,7887.4,1367.11,701.44,2068.55,6219.95,12.0,Active,Individual,True
POL00538,20240131,CUS0168,PR05,BR02,CH02,68978.26,9113.27,10238.53,19351.8,35051.92,12.0,Active,Corporate,True
POL00539,20240604,CUS0077,PR01,BR07,CH02,6518.41,854.73,564.26,1418.99,5196.79,24.0,Active,Individual,False
POL00540,20241117,CUS0036,PR01,BR07,CH01,5883.78,645.54,862.53,1508.07,2613.99,,Cancelled,Individual,False
POL00541,20240718,CUS0030,PR02,BR02,CH03,1011.49,156.25,88.99,245.24,565.05,6.0,Cancelled,Individual,False
POL00542,20230515,CUS0037,PR01,BR05,CH04,4419.16,493.63,503.87,997.5,2392.36,12.0,Active,Individual,True
POL00543,20240723,CUS0004,PR01,BR01,CH03,7082.28,1013.49,704.8,1718.29,4000.41,6.0,Active,Individual,True
POL00544,20230913,CUS0116,PR07,BR09,CH01,531.65,63.38,58.05,121.43,204.52,6.0,Active,Individual,True
POL00545,20241014,CUS0065,PR03,BR05,CH01,14488.44,1922.51,1933.8,3856.31,6287.63,24.0,Cancelled,Individual,True
POL00546,20241231,CUS0053,PR01,BR06,CH01,5442.84,677.4,692.81,1370.21,4174.66,6.0,Expired,Individual,False
POL00547,20241009,CUS0078,PR01,BR11,CH01,7540.4,1046.2,815.23,1861.43,4002.66,12.0,Active,Individual,True
POL00548,20240123,CUS0141,PR08,BR03,CH03,3572.01,614.29,410.72,1025.01,1233.28,12.0,Active,Corporate,True
POL00549,20231211,CUS0149,PR04,BR10,CH02,71670.17,8196.88,6607.07,14803.95,39814.93,6.0,Active,Corporate,False
POL00550,20230626,CUS0074,PR02,BR06,CH01,642.73,101.16,94.19,195.35,404.75,6.0,Active,Individual,True
POL00551,20231106,CUS0105,PR01,BR04,CH04,5032.68,706.95,754.4,1461.35,2571.66,12.0,Active,Individual,True
POL00552,20241019,CUS0089,PR02,BR10,CH01,784.85,127.42,75.48,202.9,539.16,12.0,Active,Individual,True
POL00553,20240715,CUS0022,PR03,BR12,CH03,8571.01,1399.89,725.08,2124.97,4372.25,24.0,Expired,Individual,True
POL00554,20231224,CUS0016,PR02,BR03,CH03,1663.59,228.63,189.12,417.75,1088.17,24.0,Active,Individual,False
POL00555,20231203,CUS0081,PR02,BR03,CH01,455.02,51.07,57.14,108.21,288.88,12.0,Active,Individual,True
POL00556,20240617,CUS0018,PR07,BR12,CH01,1408.91,203.95,153.37,357.32,417.96,12.0,Active,Individual,False
POL00557,20240622,CUS0148,PR05,BR01,CH05,47939.78,8227.33,4077.42,12304.75,19535.44,6.0,Expired,Corporate,True
POL00558,20231124,CUS0050,PR01,BR12,CH01,7687.43,1261.0,681.93,1942.93,3794.26,24.0,Active,Individual,True
POL00559,20231210,CUS0098,PR07,BR09,CH02,1367.06,229.74,204.55,434.29,464.68,12.0,Expired,Individual,True
POL00560,20230415,CUS0063,PR01,BR08,CH02,5489.29,913.09,783.12,1696.21,3395.02,24.0,Active,Individual,True
POL00561,20241006,CUS0004,PR03,BR11,CH03,4709.58,541.76,627.53,1169.29,2075.83,24.0,Active,Individual,True
POL00562,20241226,CUS0125,PR03,BR09,CH03,7753.03,833.66,978.72,1812.38,3882.7,6.0,Cancelled,Individual,True
POL00563,20230430,CUS0072,PR02,BR01,CH02,1703.19,208.52,161.75,370.27,865.53,6.0,Active,Individual,True
POL00564,20241229,CUS0116,PR01,BR03,CH02,1675.75,258.43,,474.03,964.89,24.0,Active,Individual,True
POL00565,20240720,CUS0157,PR06,BR11,CH03,52924.24,7486.31,4855.05,12341.36,28714.41,12.0,Expired,Corporate,True
POL00566,20230111,CUS0076,PR02,BR07,CH01,456.83,64.48,52.06,116.54,204.34,6.0,Active,Individual,False
POL00567,20241229,CUS0051,PR01,BR12,CH04,6834.89,943.93,844.29,1788.22,3712.17,24.0,Active,Individual,True
POL00568,20230620,CUS0147,PR08,BR03,CH02,14758.98,2082.17,1859.86,3942.03,6934.61,12.0,ACTIVE,Corporate,False
POL00569,20240112,CUS0149,PR09,BR09,CH04,47535.84,6487.11,5614.85,12101.96,31754.87,24.0,Cancelled,Corporate,False
POL00570,20240606,CUS0080,PR03,BR05,CH03,4134.62,445.88,356.35,802.23,1727.2,6.0,Expired,Individual,True
POL00571,20241202,CUS0049,PR03,BR05,CH01,10145.32,1066.2,1371.83,2438.03,3777.65,12.0,Active,Individual,False
POL00572,20230721,CUS0102,PR02,BR01,CH01,946.93,108.22,91.87,200.09,560.52,24.0,Active,Individual,True
POL00573,20230126,CUS0133,PR04,BR12,CH02,90933.83,11052.08,12383.11,23435.19,55392.94,24.0,Cancelled,Corporate,False
POL00574,20240419,CUS0053,PR01,BR09,CH02,6298.5,993.21,892.57,1885.78,4255.15,24.0,Active,Individual,False
POL00575,20230727,CUS0118,PR03,BR01,CH04,5089.89,789.67,674.29,1463.96,2665.83,6.0,EXPIRED,Individual,True
POL00576,20231202,CUS0104,PR01,BR10,CH01,4501.02,699.55,661.07,1360.62,2945.34,12.0,ACTIVE,Individual,True
POL00577,20230913,CUS0130,PR04,BR03,CH03,18841.33,1920.82,2681.35,4602.17,10005.63,24.0,Active,Corporate,False
POL00578,20240721,CUS0025,PR01,BR02,CH01,5080.25,869.84,752.79,1622.63,3058.23,24.0,Active,Individual,True
POL00579,20240116,CUS0057,PR01,BR04,CH02,5895.2,600.53,673.2,1273.73,3529.3,12.0,Active,Individual,True
POL00580,20241026,CUS0063,PR02,BR03,CH02,818.5,137.35,100.23,237.58,523.39,12.0,Expired,Individual,True
POL00581,20240430,CUS0141,PR06,BR07,CH03,63106.02,11105.28,5995.49,17100.77,24059.08,24.0,Active,Corporate,True
POL00582,20241122,CUS0101,PR01,BR03,CH01,5914.79,816.58,522.19,1338.77,2932.09,6.0,Cancelled,Individual,True
POL00583,20231019,CUS0023,PR01,BR01,CH04,7691.11,1180.14,1137.92,2318.06,5970.17,6.0,Active,Individual,False
POL00584,20240326,CUS0156,PR08,BR12,CH02,19843.61,3408.89,2783.32,6192.21,8695.95,6.0,Expired,Corporate,True
POL00585,20241028,CUS0151,PR04,BR01,CH04,13254.34,2068.6,1307.73,3376.33,8210.66,12.0,Expired,Corporate,False
POL00586,20240212,CUS0098,PR01,BR12,CH02,1906.08,221.91,281.95,503.86,1402.07,6.0,Active,Individual,True
POL00587,20240909,CUS0078,PR03,BR06,CH02,3657.99,571.25,476.25,1047.5,2138.57,24.0,Active,Individual,True
POL00588,20240721,CUS0123,PR01,BR09,CH02,3843.0,504.05,545.39,1049.44,1754.19,12.0,Active,Individual,False
POL00589,20240106,CUS0068,PR02,BR09,CH01,957.5,111.04,109.77,220.81,617.22,12.0,Active,Individual,True
POL00590,20240911,CUS0097,PR02,BR01,CH01,1044.15,166.65,133.49,300.14,567.31,6.0,Active,Individual,True
POL00591,20230906,CUS0097,PR01,BR03,CH02,5920.88,928.36,767.77,1696.13,2587.78,6.0,Active,Individual,True
POL00592,20241119,CUS0072,PR03,BR03,CH02,12093.13,1444.35,1433.54,2877.89,5406.55,6.0,Active,Individual,True
POL00593,20230303,CUS0072,PR02,BR02,CH02,1423.44,178.11,170.67,348.78,760.23,6.0,Active,Individual,True
POL00594,20240106,CUS0112,PR01,BR01,CH02,5597.55,774.52,758.28,1532.8,4301.63,12.0,EXPIRED,Individual,True
POL00595,20240917,CUS0123,PR01,BR04,CH02,5843.57,855.05,650.07,1505.12,3900.73,24.0,Cancelled,Individual,False
POL00596,20240414,CUS0048,PR03,BR03,CH01,10685.89,1339.57,987.69,2327.26,3922.24,24.0,Active,Individual,True
POL00597,20230111,CUS0169,PR09,BR04,CH04,85981.19,13178.36,10208.0,23386.36,59732.1,24.0,Expired,Corporate,True
POL00598,20241211,CUS0012,PR02,BR10,CH02,985.56,172.22,101.71,273.93,663.58,,Active,Individual,True
POL00599,20241205,CUS0021,PR03,BR06,CH03,12153.49,1747.75,1596.58,3344.33,6560.07,24.0,Active,Individual,True
POL00600,20231124,CUS0062,PR01,BR12,CH01,1966.84,214.25,264.45,478.7,1386.55,12.0,Cancelled,Individual,False
POL00601,20240714,CUS0128,PR06,BR01,CH01,34944.34,5546.99,3650.98,9197.97,13462.71,6.0,Expired,Corporate,True
POL00602,20240615,CUS0108,PR01,BR05,CH01,3785.82,575.34,365.68,941.02,2472.02,24.0,Active,Individual,True
POL00603,20240130,CUS0161,PR04,BR05,CH01,40237.95,5771.21,4795.74,10566.95,19436.33,6.0,Active,Corporate,False
POL00604,20230701,CUS0028,PR07,BR10,CH02,640.93,89.75,90.52,180.27,279.45,24.0,Expired,Individual,True
POL00605,20231106,CUS0023,PR03,BR01,CH03,5408.88,687.3,577.41,1264.71,2496.44,24.0,Active,Individual,False
POL00606,20230306,CUS0016,PR03,BR11,CH03,4669.78,699.4,398.26,1097.66,2225.83,24.0,Cancelled,Individual,False
POL00607,20230227,CUS0011,PR03,BR10,CH03,14249.35,1815.73,1212.97,3028.7,7858.48,6.0,Expired,Individual,False
POL00608,20240126,CUS0071,PR07,BR04,CH02,342.64,38.75,46.52,85.27,120.29,12.0,Active,Individual,False
POL00609,20240331,CUS0043,PR01,BR06,CH02,7742.13,808.28,1119.38,1927.66,5343.53,12.0,Expired,Individual,False
POL00610,20230614,CUS0073,PR02,BR03,CH04,1087.97,166.97,128.23,295.2,580.24,12.0,Active,Individual,False
POL00611,20240526,CUS0136,PR05,BR01,CH04,56316.69,8489.8,,16099.14,33636.24,12.0,Expired,Corporate,True
POL00612,20231027,CUS0041,PR02,BR10,CH03,753.58,108.33,63.21,171.54,515.87,12.0,Expired,Individual,True
POL00613,20230104,CUS0126,PR09,BR12,CH01,108047.91,12272.73,15353.26,27625.99,43340.52,6.0,Active,Corporate,True
POL00614,20231022,CUS0115,PR07,BR05,CH03,205.35,22.08,21.09,43.17,61.56,12.0,Active,Individual,True
POL00615,20230301,CUS0022,PR02,BR08,CH03,1380.93,176.13,203.49,379.62,958.2,12.0,Expired,Individual,True
POL00616,20240715,CUS0061,PR07,BR01,CH03,1167.99,165.11,141.6,306.71,427.09,24.0,Expired,Individual,False
POL00617,20230515,CUS0039,PR02,BR01,CH04,435.04,55.27,49.44,104.71,291.1,24.0,Active,Individual,True
POL00618,20230223,CUS0045,PR07,BR04,CH01,917.36,120.44,109.36,229.8,414.45,6.0,Cancelled,Individual,True
POL00619,20241214,CUS0179,PR04,BR04,CH02,94661.67,16295.15,11471.73,27766.88,57631.06,12.0,Active,Corporate,False
POL00620,20230611,CUS0173,PR08,BR03,CH01,11081.87,1655.42,1078.82,2734.24,4374.34,24.0,Active,Corporate,False
POL00621,20230309,CUS0075,PR01,BR03,CH02,4638.89,484.66,429.77,914.43,3358.69,12.0,Active,Individual,False
POL00622,20241222,CUS0106,PR07,BR01,CH03,346.71,52.47,32.03,84.5,99.73,24.0,Active,Individual,False
POL00623,20231208,CUS0044,PR01,BR02,CH03,4491.1,648.87,556.06,1204.93,2735.65,24.0,Active,Individual,False
POL00624,20230517,CUS0037,PR01,BR04,CH01,5717.72,742.11,630.5,1372.61,4242.82,6.0,Active,Individual,True
POL00625,20231213,CUS0171,PR06,BR11,CH01,116391.57,16079.08,10983.84,27062.92,42813.53,24.0,Active,Corporate,False
POL00626,20231028,CUS0001,PR03,BR05,CH01,7651.32,1296.94,714.31,2011.25,3664.61,6.0,Cancelled,Individual,True
POL00627,20241031,CUS0149,PR04,BR04,CH02,67210.4,8830.29,8608.03,17438.32,26759.3,24.0,Active,Corporate,False
POL00628,20240901,CUS0096,PR02,BR03,CH01,738.6,83.91,62.15,146.06,303.09,12.0,Active,Individual,False
POL00629,20231027,CUS0098,PR03,BR04,CH01,5777.58,985.05,674.9,1659.95,3315.1,24.0,Expired,Individual,True
POL00630,20230601,CUS0038,PR07,BR05,CH02,279.12,30.52,29.78,60.3,109.93,12.0,Active,Individual,False
POL00631,20230217,CUS0154,PR04,BR12,CH01,54015.57,9565.22,7578.96,17144.18,35005.2,12.0,Active,Corporate,True
POL00632,20240322,CUS0122,PR07,BR11,CH03,248.24,34.76,25.88,60.64,104.95,12.0,Expired,Individual,False
POL00633,20241230,CUS0019,PR01,BR10,CH03,7652.36,1187.92,802.35,1990.27,3748.28,24.0,Expired,Individual,True
POL00634,20240919,CUS0151,PR06,BR03,CH02,93767.24,10680.22,14049.02,24729.24,34406.77,24.0,Active,Corporate,False
POL00635,20231019,CUS0008,PR01,BR02,CH05,7607.31,775.18,907.3,1682.48,3634.74,12.0,Active,Individual,True
POL00636,20230915,CUS0003,PR02,BR12,CH02,549.78,92.92,46.73,139.65,370.68,6.0,Expired,Individual,False
POL00637,20241211,CUS0069,PR02,BR04,CH01,1976.63,283.42,293.36,576.78,1142.95,24.0,Expired,Individual,False
POL00638,20230902,CUS0048,PR07,BR03,CH02,275.17,33.56,35.71,69.27,100.15,24.0,Active,Individual,True
POL00639,20241223,CUS0096,PR03,BR01,CH01,4788.04,557.38,452.77,1010.15,1752.73,24.0,Active,Individual,False
POL00640,20231025,CUS0026,PR01,BR02,CH03,1798.36,226.67,180.95,407.62,1229.6,24.0,Expired,Individual,False
POL00641,20240719,CUS0019,PR02,BR02,CH01,1301.84,180.35,184.08,364.43,733.04,,Expired,Individual,True
POL00642,20240620,CUS0111,PR02,BR05,CH02,1707.21,268.13,173.44,441.57,1137.6,12.0,Active,Individual,True
POL00643,20230221,CUS0104,PR01,BR05,CH04,3878.87,390.36,483.44,873.8,1906.93,6.0,Cancelled,Individual,True
POL00644,20231202,CUS0107,PR01,BR10,CH02,4466.69,709.18,,1219.16,3208.1,6.0,Active,Individual,True
POL00645,20231016,CUS0069,PR01,BR01,CH04,6210.1,1040.56,678.51,1719.07,4270.8,6.0,Cancelled,Individual,False
POL00646,20241102,CUS0064,PR02,BR12,CH04,670.73,84.33,68.75,153.08,275.93,24.0,Active,Individual,True
POL00647,20240505,CUS0081,PR07,BR04,CH03,657.12,73.45,75.23,148.68,171.8,6.0,Active,Individual,True
POL00648,20240322,CUS0051,PR01,BR04,CH01,6681.6,948.61,838.68,1787.29,4157.54,24.0,Active,Individual,True
POL00649,20241025,CUS0172,PR05,BR04,CH03,53963.35,8127.83,5236.77,13364.6,20495.49,24.0,Expired,Corporate,True
POL00650,20240613,CUS0079,PR01,BR04,CH02,3727.04,516.53,362.23,878.76,2810.76,24.0,Active,Individual,True
POL00651,20240403,CUS0066,PR02,BR02,CH01,1111.54,148.35,97.77,246.12,592.55,6.0,Active,Individual,True
POL00652,20240927,CUS0098,PR01,BR04,CH03,6665.55,1113.4,547.31,1660.71,4686.25,12.0,Active,Individual,True
POL00653,20230516,CUS0112,PR01,BR07,CH01,3895.02,454.01,565.64,1019.65,2717.4,24.0,Active,Individual,True
POL00654,20240211,CUS0034,PR01,BR03,CH02,3735.83,508.72,314.33,823.05,2658.52,12.0,Active,Individual,False
POL00655,20240929,CUS0055,PR01,BR04,CH02,2478.79,365.75,359.5,725.25,1420.36,12.0,Active,Individual,False
POL00656,20240730,CUS0083,PR02,BR03,CH05,1119.51,135.45,130.14,265.59,450.4,24.0,Cancelled,Individual,True
POL00657,20240524,CUS0090,PR02,BR10,CH01,657.67,68.55,68.52,137.07,380.14,6.0,Expired,Individual,False
POL00658,20231025,CUS0084,PR01,BR01,CH03,2790.56,413.92,390.82,804.74,2017.32,6.0,Expired,Individual,True
POL00659,20240709,CUS0053,PR03,BR07,CH01,-13640.39,1960.02,1863.12,3823.14,7338.81,6.0,Expired,Individual,False
POL00660,20231025,CUS0076,PR02,BR04,CH01,1660.64,217.9,162.14,380.04,743.07,24.0,Active,Individual,False
POL00661,20240409,CUS0167,PR10,BR09,CH01,487879.64,84745.97,45444.81,130190.78,300621.1,24.0,Active,Corporate,True
POL00662,20241123,CUS0118,PR01,BR05,CH02,5173.04,891.37,711.79,1603.16,3289.58,,Active,Individual,True
POL00663,20230223,CUS0017,PR01,BR01,CH03,7934.75,795.56,732.8,1528.36,5840.51,24.0,Active,Individual,False
POL00664,20230615,CUS0017,PR01,BR05,CH01,3176.27,531.48,391.25,922.73,2351.55,24.0,Active,Individual,False
POL00665,20230627,CUS0110,PR07,BR06,CH02,1288.14,133.13,167.87,301.0,480.74,6.0,Active,Individual,True
POL00666,20240922,CUS0169,PR06,BR02,CH01,68337.11,8887.89,9578.65,18466.54,43428.44,12.0,ACTIVE,Corporate,True
POL00667,20241017,CUS0008,PR02,BR04,CH02,1719.73,211.64,162.62,374.26,881.48,6.0,Active,Individual,True
POL00668,20240603,CUS0034,PR02,BR04,CH03,1624.1,205.74,131.83,337.57,957.01,6.0,Active,Individual,False
POL00669,20240826,CUS0029,PR01,BR09,CH04,5604.99,706.29,645.5,1351.79,3010.62,6.0,Expired,Individual,False
POL00670,20240530,CUS0108,PR01,BR01,CH03,2006.47,268.21,223.51,491.72,1351.7,6.0,Expired,Individual,True
POL00671,20230816,CUS0105,PR07,BR12,CH01,757.2,103.49,78.25,181.74,223.48,24.0,Active,Individual,True
POL00672,20231117,CUS0105,PR02,BR10,CH03,666.29,106.39,78.5,184.89,468.23,6.0,Expired,Individual,True
POL00673,20230802,CUS0005,PR02,BR08,CH02,1783.94,200.51,202.44,402.95,762.88,24.0,Active,Individual,True
POL00674,20240305,CUS0163,PR05,BR01,CH01,21610.39,2530.38,1911.84,4442.22,7340.87,6.0,Active,Corporate,True
POL00675,20230125,CUS0090,PR02,BR02,CH05,951.87,168.33,77.49,245.82,430.41,12.0,Expired,Individual,False
POL00676,20241201,CUS0101,PR02,BR03,CH01,801.62,88.9,109.89,198.79,361.15,12.0,Cancelled,Individual,True
POL00677,20240731,CUS0028,PR01,BR04,CH03,7606.71,971.67,676.27,1647.94,5753.8,12.0,Active,Individual,True
POL00678,20230829,CUS0004,PR07,BR07,CH01,1409.67,178.65,114.38,293.03,436.22,6.0,Active,Individual,True
POL00679,20240602,CUS0144,PR08,BR11,CH01,3337.13,436.04,400.92,836.96,1256.54,6.0,Active,Corporate,False
POL00680,20230905,CUS0016,PR03,BR03,CH01,2554.74,376.06,206.96,583.02,1446.56,12.0,Active,Individual,False
POL00681,20230410,CUS0043,PR01,BR08,CH04,5485.14,932.93,678.5,1611.43,3151.92,24.0,Expired,Individual,False
POL00682,20231017,CUS0046,PR02,BR04,CH01,688.26,86.08,68.55,154.63,304.4,12.0,Active,Individual,True
POL00683,20240627,CUS0091,PR01,BR10,CH01,3999.63,537.29,,1103.5,3094.53,12.0,Active,Individual,True
POL00684,20241214,CUS0173,PR05,BR12,CH02,61046.51,10942.77,7988.19,18930.96,32542.85,24.0,Expired,Corporate,False
POL00685,20241207,CUS0092,PR02,BR06,CH03,1696.44,170.86,209.0,379.86,785.59,24.0,Active,Individual,True
POL00686,20241002,CUS0143,PR04,BR06,CH02,18838.94,2407.03,2603.31,5010.34,6766.06,12.0,Active,Corporate,False
POL00687,20240920,CUS0082,PR07,BR05,CH04,206.88,30.35,28.65,59.0,71.55,24.0,Active,Individual,True
POL00688,20231230,CUS0140,PR08,BR10,CH03,11434.09,1765.66,1455.21,3220.87,3890.0,24.0,Expired,Corporate,False
POL00689,20230813,CUS0070,PR01,BR03,CH02,3162.47,514.54,296.61,811.15,2240.54,12.0,ACTIVE,Individual,True
POL00690,20240303,CUS0027,PR02,BR03,CH02,1197.68,205.52,140.97,346.49,772.63,24.0,Active,Individual,True
POL00691,20230201,CUS0019,PR02,BR10,CH02,1272.31,185.81,139.32,325.13,512.9,24.0,Active,Individual,True
POL00692,20230618,CUS0091,PR01,BR01,CH03,1677.78,254.76,225.79,480.55,1295.33,12.0,Active,Individual,True
POL00693,20230413,CUS0120,PR01,BR01,CH01,3291.04,488.56,286.45,775.01,2553.38,24.0,Active,Individual,True
POL00694,20240819,CUS0025,PR03,BR05,CH04,7547.71,1248.71,1113.17,2361.88,2497.26,12.0,Expired,Individual,True
POL00695,20241125,CUS0017,PR02,BR01,CH02,1177.07,123.15,153.14,276.29,829.75,12.0,Active,Individual,False
POL00696,20240812,CUS0051,PR02,BR05,CH03,1929.91,288.21,184.58,472.79,774.86,24.0,Expired,Individual,True
